   30  250       UV1
  270.0766 1.038360 1.040958 1.020696 1.016795 1.017238 1.018081 1.034964 1.024473 1.017105 1.015294 1.007532 1.002312 1.008867 1.007971 0.984680 0.995381 1.014067 1.021741 1.035807 1.043716 1.052057 1.055462 1.048939 1.040283 1.040133 1.041126 1.041839 1.044738 1.061350 1.054312
  270.2376 1.029444 1.040106 1.020640 1.018508 1.017998 1.014161 1.037269 1.020875 1.013562 1.013447 1.007712 1.002875 1.005313 1.006053 0.981068 0.993026 1.015057 1.022949 1.033660 1.041534 1.049550 1.052427 1.044602 1.042887 1.037368 1.040756 1.040744 1.044154 1.058267 1.054202
  270.3986 1.020527 1.039255 1.020584 1.020221 1.018757 1.010242 1.039575 1.017277 1.010019 1.011600 1.007891 1.003437 1.001760 1.004136 0.977457 0.990672 1.016047 1.024155 1.031515 1.039353 1.047044 1.049391 1.040264 1.045491 1.034602 1.040385 1.039649 1.043571 1.055184 1.054091
  270.5595 1.011611 1.038404 1.020528 1.021934 1.019132 1.013039 1.041880 1.013846 1.006474 1.009835 1.008072 0.999859 0.998452 1.002218 0.973845 0.988317 1.017035 1.024335 1.031687 1.037171 1.044038 1.046356 1.036273 1.048096 1.031837 1.038216 1.038916 1.042557 1.053481 1.052753
  270.7205 1.010308 1.039304 1.020105 1.020941 1.018280 1.018043 1.041685 1.012717 1.002931 1.010750 1.007905 0.994174 0.996498 1.005154 0.971166 0.988495 1.014461 1.021688 1.032355 1.035774 1.039800 1.043305 1.032728 1.044421 1.029461 1.035594 1.038532 1.040830 1.053841 1.050519
  270.8815 1.012177 1.041300 1.019504 1.019583 1.017406 1.018889 1.033646 1.011589 1.005441 1.011664 1.006091 0.993356 0.994545 1.009153 0.968961 0.989830 1.011434 1.019529 1.032768 1.035641 1.036293 1.040204 1.030328 1.037614 1.033145 1.032897 1.040113 1.039882 1.055725 1.049819
  271.0425 1.012254 1.041633 1.017944 1.015339 1.016221 1.016657 1.025985 1.010172 1.008790 1.008381 1.004272 0.997539 0.993750 1.006000 0.968539 0.990919 1.006274 1.021876 1.033040 1.035516 1.038476 1.037193 1.031260 1.034059 1.036829 1.030149 1.045756 1.042148 1.063009 1.051417
  271.2035 1.010795 1.039890 1.015423 1.009893 1.015037 1.014088 1.023566 1.008722 1.010013 1.004408 1.002375 0.999400 0.992975 0.999067 0.969909 0.991786 1.000287 1.024223 1.031554 1.035410 1.040660 1.040859 1.032264 1.033933 1.036892 1.028446 1.050153 1.044370 1.069658 1.052405
  271.3644 1.008840 1.038134 1.013916 1.007900 1.013376 1.011014 1.021146 1.012488 1.010355 1.002280 1.000478 0.996518 0.994541 0.993518 0.970229 0.991284 0.998846 1.019413 1.028195 1.035196 1.036211 1.044525 1.034095 1.034678 1.036464 1.028108 1.047308 1.044120 1.062568 1.051319
  271.5254 1.006066 1.036344 1.014461 1.008897 1.011658 1.007941 1.020162 1.018255 1.009317 1.000976 1.002465 0.993486 0.996614 0.989394 0.968489 0.988337 1.001008 1.014086 1.024745 1.032650 1.031360 1.043247 1.035925 1.037350 1.033963 1.027637 1.044464 1.043869 1.055479 1.050267
