the distance from the sun versus time in 1995:
sidereal year = 365.256366
1 astronomical unit, in km = 1.495978707d8
1995 vernal equinox = 79.09514 ut
aphelion distance in au = 1.01674
perihelion perihelion distance in au = 0.98330
apdate = 184.125; july 4, 3. ut
peridate = 3.375; january 4, 9. ut

average velocity = 29.784735 km s-1

   date r (au)   r (km)
 168.5  1.01601  1.51993e+08
 169.5  1.01609  1.52005e+08
 170.5  1.01617  1.52017e+08
 171.5  1.01624  1.52027e+08
 172.5  1.01631  1.52037e+08
 173.5  1.01637  1.52046e+08
 174.5  1.01642  1.52055e+08
 175.5  1.01648  1.52063e+08
 176.5  1.01652  1.52070e+08
 177.5  1.01657  1.52076e+08
 178.5  1.01661  1.52082e+08
 179.5  1.01664  1.52087e+08
 180.5  1.01667  1.52091e+08
 181.5  1.01669  1.52095e+08
 182.5  1.01671  1.52098e+08
 183.5  1.01673  1.52100e+08
 184.5  1.01673  1.52101e+08
 185.5  1.01674  1.52102e+08
 186.5  1.01674  1.52102e+08
 187.5  1.01673  1.52101e+08
 188.5  1.01673  1.52100e+08
 189.5  1.01671  1.52098e+08
 190.5  1.01669  1.52095e+08
 191.5  1.01667  1.52091e+08
 192.5  1.01664  1.52087e+08
 193.5  1.01661  1.52082e+08
 194.5  1.01657  1.52076e+08
 195.5  1.01652  1.52070e+08
 196.5  1.01648  1.52063e+08
 197.5  1.01642  1.52055e+08
 198.5  1.01637  1.52046e+08
 199.5  1.01631  1.52037e+08
 200.5  1.01624  1.52027e+08
 201.5  1.01617  1.52017e+08
 202.5  1.01609  1.52005e+08
 203.5  1.01601  1.51993e+08
 204.5  1.01593  1.51981e+08
 205.5  1.01584  1.51967e+08
 206.5  1.01574  1.51953e+08
 207.5  1.01565  1.51938e+08
 208.5  1.01554  1.51923e+08
 209.5  1.01543  1.51907e+08
 210.5  1.01532  1.51890e+08
 211.5  1.01521  1.51873e+08
 212.5  1.01509  1.51855e+08
 213.5  1.01496  1.51836e+08
 214.5  1.01483  1.51817e+08
 215.5  1.01470  1.51797e+08
 216.5  1.01456  1.51776e+08
 217.5  1.01442  1.51755e+08
 218.5  1.01427  1.51733e+08
 219.5  1.01412  1.51710e+08
 220.5  1.01397  1.51687e+08
 221.5  1.01381  1.51664e+08
 222.5  1.01365  1.51639e+08
 223.5  1.01348  1.51614e+08
 224.5  1.01331  1.51589e+08
 225.5  1.01314  1.51563e+08
 226.5  1.01296  1.51536e+08
 227.5  1.01278  1.51509e+08
 228.5  1.01259  1.51481e+08
 229.5  1.01240  1.51453e+08
 230.5  1.01221  1.51424e+08
 231.5  1.01201  1.51395e+08
 232.5  1.01181  1.51365e+08
