          28
  0.269294D+03  0.564396D+00  0.417559D-03
  0.272816D+03  0.461955D+00  0.519367D-02
  0.276260D+03  0.449587D+00  0.603124D-02
  0.279645D+03  0.394574D+00  0.478750D-02
  0.282984D+03  0.386608D+00 -0.602784D-02
  0.286285D+03  0.386811D+00 -0.544248D-02
  0.289554D+03  0.382503D+00 -0.372275D-02
  0.292788D+03  0.380448D+00 -0.372795D-02
  0.295983D+03  0.385751D+00 -0.269490D-02
  0.299130D+03  0.407126D+00 -0.826225D-02
  0.302213D+03  0.433450D+00 -0.301086D-01
  0.305212D+03  0.437692D+00 -0.484818D-01
  0.306886D+03  0.427797D+00 -0.697272D-01
  0.312348D+03  0.257895D+00  0.678074D-02
  0.313920D+03  0.265706D+00  0.116626D-01
  0.315484D+03  0.266633D+00  0.971688D-02
  0.317042D+03  0.264619D+00  0.560525D-02
  0.318592D+03  0.264555D+00  0.278241D-02
  0.320136D+03  0.263472D+00  0.280749D-03
  0.321673D+03  0.262874D+00 -0.236266D-02
  0.323203D+03  0.263847D+00 -0.525394D-02
  0.324726D+03  0.265152D+00 -0.475012D-02
  0.326242D+03  0.261919D+00 -0.326258D-02
  0.327752D+03  0.266903D+00 -0.571539D-02
  0.329255D+03  0.264484D+00 -0.901710D-02
  0.330751D+03  0.264648D+00 -0.652886D-02
  0.332240D+03  0.265140D+00 -0.447325D-02
  0.333208D+03  0.266168D+00 -0.280801D-02
