         216
269.7929   0.67378D-03
270.1461  -0.20751D-02
270.4984  -0.17213D-02
270.8499   0.12624D-03
271.2005  -0.10344D-02
271.5502  -0.12428D-03
271.8991   0.53148D-02
272.2472   0.51411D-02
272.5945   0.34658D-03
272.9410  -0.45024D-02
273.2869  -0.31651D-02
273.6319   0.16998D-02
273.9763   0.42569D-02
274.3200   0.44127D-02
274.6631   0.44225D-02
275.0055   0.23382D-02
275.3473  -0.80197D-03
275.6884   0.30464D-03
276.0290  -0.32628D-02
276.3690  -0.21336D-02
276.7085  -0.12287D-02
277.0474  -0.75042D-03
277.3858  -0.25619D-02
277.7236  -0.12688D-03
278.0610   0.38597D-02
278.3979   0.19543D-02
278.7343   0.10245D-02
281.0771   0.40482D-03
281.4102  -0.20122D-02
281.7429  -0.30212D-02
282.0753  -0.25998D-02
282.4073  -0.15703D-02
282.7390  -0.88632D-03
283.0703  -0.18264D-02
283.4013  -0.47355D-03
283.7320  -0.46215D-03
284.0624  -0.22063D-02
284.3925  -0.12297D-02
285.7098   0.63850D-02
286.0384  -0.45553D-02
286.3668  -0.53769D-02
286.6948  -0.19630D-02
287.0226  -0.15436D-02
287.3501  -0.38294D-02
287.6774  -0.12188D-02
288.0044   0.82362D-02
288.3311   0.83851D-02
288.6575  -0.25704D-02
288.9837  -0.19846D-02
289.3096   0.77178D-03
289.9607  -0.27020D-02
290.2858  -0.30935D-02
290.6106  -0.16798D-02
290.9352   0.47845D-03
291.2595  -0.42554D-03
291.5835  -0.28685D-03
291.9072   0.48322D-04
292.2307  -0.11804D-03
292.5538   0.32986D-02
292.8766   0.29391D-02
293.1992  -0.31360D-02
293.5214  -0.28524D-02
293.8433   0.29301D-02
294.1649   0.12792D-02
294.4861  -0.14650D-02
294.8070   0.19997D-02
295.1276   0.12642D-02
295.4478  -0.12951D-02
295.7676  -0.14973D-02
296.0871  -0.34762D-02
296.4062  -0.21858D-02
296.7248   0.65806D-02
297.0431   0.76546D-02
297.3610   0.96197D-03
297.6784  -0.65728D-02
297.9954  -0.53090D-02
298.3119   0.64798D-02
298.6279   0.97320D-02
298.9435  -0.15972D-02
299.2586  -0.48672D-02
299.5732  -0.23950D-02
299.8872  -0.42867D-03
300.2007   0.68625D-02
300.5137   0.35079D-02
300.8260  -0.32187D-04
301.1378  -0.29661D-02
301.4490  -0.45406D-02
301.7596   0.97030D-03
302.0695   0.94518D-02
302.3788   0.38097D-02
302.6874  -0.22379D-02
302.9953  -0.44303D-02
303.3025  -0.42564D-02
303.6089  -0.19241D-02
303.9146   0.22745D-02
304.2195   0.19859D-02
304.5236  -0.45204D-03
304.8269  -0.15692D-02
305.1293  -0.36898D-02
305.4309  -0.24229D-02
305.7316   0.37116D-02
306.0313   0.42832D-02
306.3302   0.78737D-03
306.6281   0.12817D-02
306.9250  -0.43676D-03
